Name,Location,Price in Euro,Area m²,Price per m²,Rooms,Furniture,Age,Company
Apartment Keizersgracht,1016 EG Amsterdam (Grachtengordel-West),6000,270,22,4,Upholstered,Not Provided,Listings
Apartment Warmoesstraat,1012 HX Amsterdam (Burgwallen-Oude Zijde),2400,80,30,2,Furnished,Not Provided,Housing Experts
Apartment Madurastraat,1094 GL Amsterdam (Indische Buurt West),1850,60,30,2,Furnished,Not Provided,Housing Experts
Apartment Olympiaweg,1076 XA Amsterdam (Stadionbuurt),1650,43,38,2,Not Provided,1925,Clairesrealestate
Apartment Keizersgracht 217 G,1016 DT Amsterdam (Grachtengordel-West),3500,160,21,4,Furnished,Not Provided,Oei Housing Amsterdam - Expat Apartments
Apartment Timorstraat,1094 CD Amsterdam (Indische Buurt West),2350,80,29,3,Upholstered or furnished,Not Provided,ME Makelaars BV
Apartment Keizersgracht 335 II,1016 EG Amsterdam (Grachtengordel-West),1950,60,32,2,Upholstered,Not Provided,Prinsen Residence International
Apartment Borneostraat 94 E,1094 CP Amsterdam (Indische Buurt West),1359,55,24,2,Upholstered or furnished,Not Provided,Huizenbalie.nl
Apartment Prinsengracht 844 ll-lll,1017 JM Amsterdam (De Weteringschans),3100,120,25,4,Upholstered,Not Provided,Amstel Makelaardij o.g.
Apartment Van Spilbergenstraat,1057 RP Amsterdam (Hoofdweg e.o.),1550,50,31,4,Not Provided,1906-1930,Visch & Van Zeggelaar Amsterdam
Apartment Van Spilbergenstraat,1057 RM Amsterdam (Hoofdweg e.o.),1795,50,35,3,Not Provided,Not Provided,Visch & Van Zeggelaar Amsterdam
Apartment Van Spilbergenstraat,1057 RN Amsterdam (Hoofdweg e.o.),1795,57,31,3,Not Provided,Before 1906,Visch & Van Zeggelaar Amsterdam
Apartment Jan Evertsenstraat,1057 BN Amsterdam (Hoofdweg e.o.),1350,57,23,2,Not Provided,1927,Keij & Stefels Makelaars en Taxateurs
Apartment Keizersgracht,1016 EX Amsterdam (Grachtengordel-West),1600,40,40,1,Upholstered,Not Provided,Keij & Stefels Makelaars en Taxateurs
Apartment Waterkersweg 262,1051 PJ Amsterdam (Centrale Markt),2100,85,24,3,Upholstered,Not Provided,JLG Real Estate
Apartment Zuidelijke Wandelweg,1079 RK Amsterdam (Scheldebuurt),3500,111,31,4,Not Provided,2018,Dutch Real Estate Company
House Leimuidenstraat,1059 EJ Amsterdam (Hoofddorppleinbuurt),2600,90,28,3,Upholstered,Not Provided,City Homes
Apartment Koninginneweg,1075 CG Amsterdam (Willemspark),2050,72,28,3,Furnished,Not Provided,Inxxx Rentals
Apartment Parnassusweg,1077 DE Amsterdam (Prinses Irenebuurt e.o.),2300,102,22,3,Furnished,Not Provided,Inxxx Rentals
Apartment Keizersgracht 365 E,1016 EJ Amsterdam (Grachtengordel-West),3850,130,29,3,Upholstered or furnished,Not Provided,Vastgoed Unie Makelaardij
Apartment Eerste Helmersstraat 154 hs,1054 EJ Amsterdam (Helmersbuurt),2000,58,34,2,Furnished,Not Provided,Van Huis Uit Makelaars
Studio Buyskade,1051 ME Amsterdam (Staatsliedenbuurt),1600,58,27,1,Furnished,Not Provided,Marktpand
Apartment Laing's Nekstraat,1092 KZ Amsterdam (Transvaalbuurt),2250,92,24,4,Furnished,Not Provided,Relocation Advisers B.V.
Project: Q-Residences | Quartz - APPARTEMENT H–F’ LUXE,1081 AB Amsterdam (Buitenveldert-West),1975,77,25,3,Not Provided,Not Provided,Eefje Voogd Makelaardij
Project: Q-Residences | Quartz - APPARTEMENT H–G LUXE,1081 AB Amsterdam (Buitenveldert-West),1912.0,74,25,3,Not Provided,Not Provided,Eefje Voogd Makelaardij
Project: Q-Residences | Quartz - APPARTEMENT H–I LUXE,1081 AB Amsterdam (Buitenveldert-West),2820,107,26,4,Not Provided,Not Provided,Eefje Voogd Makelaardij
Project: Q-Residences | Quartz - APPARTEMENT H–I’ LUXE,1081 AB Amsterdam (Buitenveldert-West),2820,107,26,4,Not Provided,Not Provided,Eefje Voogd Makelaardij
Project: Q-Residences | Quartz - APPARTEMENT H–F LUXE,1081 AB Amsterdam (Buitenveldert-West),1975,77,25,3,Not Provided,Not Provided,Eefje Voogd Makelaardij
Project: Q-Residences | Quartz - APPARTEMENT H–A’ LUXE,1081 AB Amsterdam (Buitenveldert-West),1662.0,68,24,3,Not Provided,Not Provided,Eefje Voogd Makelaardij
Project: Q-Residences | Quartz - APPARTEMENT H-A LUXE,1081 AB Amsterdam (Buitenveldert-West),1662.0,68,24,3,Not Provided,Not Provided,Eefje Voogd Makelaardij
Project: Q-Residences | Quartz - APPARTEMENT H–D’ LUXE,1081 AB Amsterdam (Buitenveldert-West),1350,49,27,2,Not Provided,Not Provided,Eefje Voogd Makelaardij
Apartment Keizersgracht,1016 EG Amsterdam (Grachtengordel-West),6000,270,22,4,Upholstered,Not Provided,Listings
Project: Q-Residences | Quartz - APPARTEMENT H–J LUXE,1081 AB Amsterdam (Buitenveldert-West),1612.0,62,26,2,Not Provided,Not Provided,Eefje Voogd Makelaardij
Project: Q-Residences | Quartz - APPARTEMENT H–G’ LUXE,1081 AB Amsterdam (Buitenveldert-West),1912.0,74,25,3,Not Provided,Not Provided,Eefje Voogd Makelaardij
Project: Q-Residences | Quartz - APPARTEMENT H–H LUXE,1081 AB Amsterdam (Buitenveldert-West),1638.0,64,25,3,Not Provided,Not Provided,Eefje Voogd Makelaardij
Project: Q-Residences | Quartz - APPARTEMENT H–E LUXE,1081 AB Amsterdam (Buitenveldert-West),1612.0,61,26,3,Not Provided,Not Provided,Eefje Voogd Makelaardij
Project: Q-Residences | Quartz - APPARTEMENT H–B LUXE,1081 AB Amsterdam (Buitenveldert-West),1350,49,27,2,Not Provided,Not Provided,Eefje Voogd Makelaardij
Project: Q-Residences | Quartz - APPARTEMENT H–D LUXE,1081 AB Amsterdam (Buitenveldert-West),1350,49,27,2,Not Provided,Not Provided,Eefje Voogd Makelaardij
Apartment Govert Flinckstraat 10,1072 EJ Amsterdam (Oude Pijp),2300,70,32,3,Furnished,Not Provided,Vastgoed Unie Makelaardij
Apartment Postjesweg 303,1062 JR Amsterdam (Overtoomse Veld),1800,80,22,4,Furnished,Not Provided,Van Huis Uit Makelaars
Apartment Amstelkade 127 2,1078 AS Amsterdam (Scheldebuurt),1895,102,18,3,Shell,Not Provided,Stienstra
Apartment Hugo de Grootkade 4 1,1052 LP Amsterdam (Frederik Hendrikbuurt),1700,52,32,2,Upholstered,Not Provided,The Rental Agency Amsterdam
Apartment Jan Vrijmanstraat,1087 NB Amsterdam (IJburg Zuid),1428,116,12,3,Not Provided,2010,Van 't Hof Rijnland Vastgoedmanagement
Apartment Venetiëhof,1019 NC Amsterdam (Oostelijk Havengebied),2000,85,23,3,Furnished,Not Provided,Woonmarkt Amsterdam
Apartment Prins Hendrikkade,1011 AN Amsterdam (Nieuwmarkt/Lastage),2250,65,34,3,Furnished,Not Provided,Hausing
Apartment Prins Hendrikkade,1011 AN Amsterdam (Nieuwmarkt/Lastage),2150,65,33,2,Furnished,Not Provided,Hausing
Apartment Jacob van Lennepkade,1054 ZG Amsterdam (Helmersbuurt),2550,70,36,3,Upholstered,Not Provided,Hausing
Apartment Ruysdaelstraat,1071 WX Amsterdam (Museumkwartier),2500,78,32,3,Upholstered,Not Provided,BrinkBorgh Makelaardij
Apartment Rustenburgerstraat 303 1,1073 GE Amsterdam (Nieuwe Pijp),2195,50,43,3,Furnished,Not Provided,Urban Homies
Apartment Geldersekade 119 B,1011 EN Amsterdam (Nieuwmarkt/Lastage),2450,72,34,2,Furnished,Not Provided,Urban Homies
Apartment Jan van Duivenvoordestraat,1067 XN Amsterdam (Geuzenveld),1750,65,26,3,Furnished,Not Provided,Woonmarkt Amsterdam
Apartment Wilhelminastraat 213 2,1054 WG Amsterdam (Overtoomse Sluis),2150,60,35,3,Furnished,Not Provided,The Rental Agency Amsterdam
Apartment Marius Bauerstraat,1062 AL Amsterdam (Overtoomse Veld),1600,50,32,2,Furnished,Not Provided,Woonmarkt Amsterdam
Apartment Rosmarijnsteeg,1012 RP Amsterdam (Burgwallen-Nieuwe Zijde),1975,77,25,3,Upholstered,Not Provided,BrinkBorgh Makelaardij
Apartment Ridderspoorweg 60,1032 LL Amsterdam (Noordelijke IJ-oevers West),2750,125,22,5,Furnished,Not Provided,Amsterdam Housing
Apartment Balthasar Floriszstraat,1071 VB Amsterdam (Museumkwartier),3550,123,28,4,Furnished,Not Provided,Inter Immo Amsterdam
Apartment Rietnesse 8 II,1082 CG Amsterdam (Buitenveldert-West),1950,64,30,2,Furnished,Not Provided,Dutch Housing Centre BV
Apartment Bloemgracht,1015 TJ Amsterdam (Jordaan),2000,75,26,2,Furnished,Not Provided,Compass Housing Amsterdam
Apartment Nieuwezijds Voorburgwal,1012 SC Amsterdam (Burgwallen-Nieuwe Zijde),1650,46,35,3,Upholstered,Not Provided,Vastgoed & Co.
Apartment Woestduinstraat 109 H,1059 SP Amsterdam (Hoofddorppleinbuurt),2100,70,30,3,Furnished,Not Provided,Expat Rentals
Apartment Jan Pieter Heijestraat 107 B,1053 GN Amsterdam (Van Lennepbuurt),1950,68,28,2,Furnished,Not Provided,ViaDaan
Studio Schaarsbergenstraat 59 A,1107 JS Amsterdam (Holendrecht/Reigersbos),1200,34,35,1,Upholstered,Not Provided,ViaDaan
Apartment Keizersgracht,1016 EG Amsterdam (Grachtengordel-West),6000,270,22,4,Upholstered,Not Provided,Listings
Apartment Beursstraat 33 A,1012 JV Amsterdam (Burgwallen-Oude Zijde),2500,60,41,3,Upholstered or furnished,Not Provided,MA Residences
Apartment Prinsengracht 353 B,1016 HK Amsterdam (Grachtengordel-West),2000,85,23,2,Furnished,Not Provided,Amsterdam Housing
Apartment Warmondstraat,1058 KW Amsterdam (Hoofddorppleinbuurt),2650,88,30,3,Furnished,Not Provided,Interhouse verhuurmakelaars Amsterdam
Apartment Sarphatistraat 175 H,1018 GE Amsterdam (Weesperbuurt/Plantage),2400,84,28,2,Furnished,Not Provided,Expat Apartment Service
Apartment Argonautenstraat,1076 KS Amsterdam (Stadionbuurt),2350,65,36,3,Furnished,Not Provided,Housing Experts
House Hoendiepstraat,1079 LX Amsterdam (Rijnbuurt),2200,78,28,4,Furnished,Not Provided,123Wonen Amsterdam
Apartment Zeeburgerdijk,1093 SJ Amsterdam (Dapperbuurt),1750,51,34,2,Upholstered,Not Provided,Hausing
Apartment Kerkstraat,1017 GP Amsterdam (Grachtengordel-Zuid),1850,51,36,2,Upholstered,Not Provided,Hausing
Apartment Montelbaanstraat,1011 EG Amsterdam (Nieuwmarkt/Lastage),2500,60,41,3,Not Provided,1933,Mar. J. Heule
Apartment Karel du Jardinstraat,1072 SE Amsterdam (Nieuwe Pijp),2250,58,38,3,Not Provided,1906-1930,Mar. J. Heule
Apartment Ridderspoorweg 90,1032 LL Amsterdam (Noordelijke IJ-oevers West),2750,125,22,5,Upholstered,Not Provided,JLG Real Estate
Apartment Hobbemakade,1071 XK Amsterdam (Museumkwartier),6000,135,44,4,Furnished,Not Provided,Heeren Makelaars B.V.
Apartment Valentijnkade 39 H,1095 JH Amsterdam (Indische Buurt Oost),1700,47,36,2,Shell,Not Provided,Huisman Makelaardij B.V.
Apartment Alexanderplein,1018 CG Amsterdam (Weesperbuurt/Plantage),2400,75,32,2,Upholstered,Not Provided,Inxxx Rentals
Apartment Van Ostadestraat,1074 VV Amsterdam (Nieuwe Pijp),1950,49,39,2,Furnished,Not Provided,BIC Makelaardij
Apartment Lijnbaansgracht 213 hs,1016 XJ Amsterdam (Jordaan),1750,65,26,3,Upholstered or furnished,Not Provided,HousingNet
Apartment Geuzenkade,1056 KK Amsterdam (Geuzenbuurt),1850,60,30,3,Furnished,Not Provided,Expats. Amsterdam Rentals
Apartment Elckerlijcstraat,1055 AK Amsterdam (Erasmuspark),2250,80,28,3,Furnished,Not Provided,Interhouse verhuurmakelaars Amsterdam
Apartment Eerste Helmersstraat,1054 EN Amsterdam (Overtoomse Sluis),2450,75,32,3,Furnished,Not Provided,Interhouse verhuurmakelaars Amsterdam
House H. Stolleplantsoen,1022 KK Amsterdam (Elzenhagen),2300,100,23,4,Furnished,Not Provided,123Wonen Amsterdam
Apartment Prinsengracht 197 C,1015 DT Amsterdam (Grachtengordel-West),2650,70,37,2,Furnished,Not Provided,Van Huis Uit Makelaars
Apartment Bosrankstraat,1032 LH Amsterdam (Noordelijke IJ-oevers West),2700,110,24,4,Furnished,Not Provided,Expat Rentals Amsterdam
Apartment Vossiusstraat 7 H,1071 AB Amsterdam (Museumkwartier),2850,75,38,3,Furnished,Not Provided,Peter Bruin Makelaardij
Apartment Haparandaweg,1013 BD Amsterdam (Houthavens),1750,48,36,2,Furnished,Not Provided,Find your room
Apartment Eerste Sweelinckstraat,1073 CM Amsterdam (Oude Pijp),2150,70,30,2,Furnished,Not Provided,123Wonen Amsterdam
Apartment Van Nijenrodeweg,1082 GV Amsterdam (Buitenveldert-West),1650,45,36,2,Furnished,Not Provided,Amsterdam Homes
Apartment Pieter Aertszstraat,1074 VP Amsterdam (Nieuwe Pijp),2000,63,31,2,Furnished,Not Provided,Rotsvast Amsterdam
Apartment Prinsengracht 447 2,1016 HN Amsterdam (Grachtengordel-West),2450,70,35,3,Upholstered or furnished,Not Provided,AmsterHomes
Apartment Rijnstraat,1079 HT Amsterdam (Rijnbuurt),2250,78,28,4,Upholstered,Not Provided,A Plus Apartments
Apartment Herengracht 445 A,1017 BR Amsterdam (Grachtengordel-Zuid),2450,105,23,3,Furnished,Not Provided,Parker & Williams Real Estate Services
Apartment Keizersgracht,1016 EG Amsterdam (Grachtengordel-West),6000,270,22,4,Upholstered,Not Provided,Listings
Apartment Rooseveltlaan,1078 NP Amsterdam (Scheldebuurt),2650,101,26,4,Furnished,Not Provided,123Wonen Amsterdam
Apartment Dijkgraafplein,1069 EV Amsterdam (De Punt),2599,101,25,4,Not Provided,1969,Huisportaal.nl
Apartment Sassenheimstraat 59 3,1059 BD Amsterdam (Hoofddorppleinbuurt),2600,78,33,4,Upholstered or furnished,Not Provided,Vastgoed Unie Makelaardij
Apartment Vrolikstraat,1092 TT Amsterdam (Oosterparkbuurt),1985,42,47,2,Furnished,Not Provided,I-housing
