Name,Location,Price in Euro,Area m²,Price per m²,Rooms,Furniture,Age,Company
Apartment Amstel 135 E,1018 EN Amsterdam (Weesperbuurt/Plantage),1750,50,35,2,Not Provided,1961,HousingNet
Apartment Nachtwachtlaan,1058 EE Amsterdam (Overtoomse Veld),2500,100,25,4,Upholstered or furnished,Not Provided,Makelaardij Prins van Wijngaarden
Apartment Hoogte Kadijk,1018 BK Amsterdam (Oostelijke Eilanden/Kadijken),2300,78,29,4,Upholstered,Not Provided,BrinkBorgh Makelaardij
Apartment Pieter Aertszstraat 107 H,1074 VP Amsterdam (Nieuwe Pijp),2000,63,31,2,Furnished,Not Provided,Amsterdam Housing
Apartment Kerkstraat 322 N,1017 HC Amsterdam (Grachtengordel-Zuid),2750,95,28,3,Upholstered or furnished,Not Provided,Hollandsche Makelaardij
Apartment Jacob Obrechtstraat,1071 KG Amsterdam (Museumkwartier),2850,97,29,3,Upholstered,Not Provided,Keij & Stefels Makelaars en Taxateurs
Apartment Rietwijkerstraat 21 III-IV,1059 VV Amsterdam (Hoofddorppleinbuurt),2300,85,27,3,Upholstered or furnished,Not Provided,JLG Real Estate
House Klaprozenweg 73 A,1032 KK Amsterdam (Noordelijke IJ-oevers West),2950,207,14,5,Not Provided,Not Provided,11 Makelaars Amsterdam
Apartment Sparrenweg,1091 HR Amsterdam (Oosterparkbuurt),2250,66,34,3,Furnished,Not Provided,Nuverhuren.nl
Apartment Lekstraat 114 2,1079 EW Amsterdam (Scheldebuurt),2150,90,23,3,Upholstered or furnished,Not Provided,AmsterHomes
Apartment Van Suchtelen van de Haarestraat,1068 GV Amsterdam (Osdorp-Oost),2250,100,22,4,Upholstered or furnished,Not Provided,Alcoco.nl
Apartment Van Eeghenstraat,1071 GD Amsterdam (Museumkwartier),5850,196,29,5,Upholstered,Not Provided,Grand Apartments Amsterdam
Apartment Singel,1015 AG Amsterdam (Grachtengordel-West),4000,108,37,3,Furnished,Not Provided,Expat Rentals Amsterdam
Apartment Deurloostraat,1078 HT Amsterdam (Scheldebuurt),3750,80,46,3,Furnished,Not Provided,Grand Apartments Amsterdam
Apartment Bilderdijkkade,1053 VM Amsterdam (Van Lennepbuurt),2000,70,28,3,Furnished,Not Provided,Interhouse verhuurmakelaars Amsterdam
House Kerkstraat 406,1017 JC Amsterdam (Grachtengordel-Zuid),6350,198,32,6,Upholstered,Not Provided,De Graaf & Groot Makelaars
Apartment Hagedoornplein,1031 BV Amsterdam (Volewijck),3250,140,23,4,Upholstered,Not Provided,Expathousing.com (Amsterdam)
Apartment Hoofdweg 318 huis,1056 DA Amsterdam (Van Galenbuurt),2350,73,32,2,Furnished,Not Provided,Amsterdam Wonen
Apartment Westerlengte 131,1034 TB Amsterdam (Banne Buiksloot),1550,60,25,2,Upholstered,Not Provided,HousingNet
Apartment Nida Senffstraat,1095 MX Amsterdam (Zeeburgereiland/Nieuwe Diep),1950,70,27,3,Furnished,Not Provided,The Perfect House
Apartment Keizersgracht,1017 EB Amsterdam (Grachtengordel-Zuid),2450,47,52,1,Furnished,Not Provided,Hausing
Apartment Bilderdijkstraat,1053 KX Amsterdam (Da Costabuurt),3975,95,41,5,Not Provided,1903,Hausing
Apartment IJburglaan 917,1087 EN Amsterdam (IJburg West),2100,96,21,3,Furnished,Not Provided,Expats. Amsterdam Rentals
Apartment Allard Piersonstraat,1053 ZX Amsterdam (Da Costabuurt),1875,70,26,2,Upholstered,Not Provided,A Plus Apartments
Apartment Keizersgracht,1015 CX Amsterdam (Grachtengordel-West),3250,119,27,3,Not Provided,1880,Makelaarskantoor BEN BV
Apartment Jacob van Lennepkade,1054 ZG Amsterdam (Helmersbuurt),2550,70,36,3,Upholstered,Not Provided,Hausing
Apartment Keizersgracht,1016 EG Amsterdam (Grachtengordel-West),6000,270,22,4,Upholstered,Not Provided,Listings
Apartment Jacob van Lennepkade,1054 ZG Amsterdam (Helmersbuurt),2750,73,37,3,Upholstered,Not Provided,Hausing
Apartment Goudsbloemstraat,1015 JT Amsterdam (Jordaan),2095,65,32,3,Upholstered,Not Provided,Expathousing.com (Amsterdam)
Studio Haarlemmermeerstraat,1058 KH Amsterdam (Hoofddorppleinbuurt),1750,27,64,1,Furnished,Not Provided,Verhoef Vastgoed
Apartment Tweede Jan van der Heijdenstraat,1074 XT Amsterdam (Oude Pijp),2500,66,37,3,Not Provided,1883,Rebid
Apartment Kerkstraat,1017 HW Amsterdam (Grachtengordel-Zuid),4500,120,37,3,Furnished,Not Provided,Expats. Amsterdam Rentals
Apartment Leidsegracht,1016 CR Amsterdam (Jordaan),2400,105,22,2,Not Provided,1800,Prestige Housing
Apartment Eerste Helmersstraat,1054 DJ Amsterdam (Helmersbuurt),5000,144,34,4,Furnished,Not Provided,I-housing
Apartment Govert Flinckstraat 384 2,1074 CH Amsterdam (Oude Pijp),2100,60,35,3,Upholstered or furnished,Not Provided,Vastgoed Unie Makelaardij
Apartment Botterstraat,1034 BW Amsterdam (Banne Buiksloot),1750,78,22,3,Furnished,Not Provided,LV Housing
Apartment Pieter Aertszstraat,1073 SH Amsterdam (Nieuwe Pijp),2500,67,37,3,Furnished,Not Provided,Sjaardema Vastgoed
Apartment Loenermark 375,1025 TH Amsterdam (Buikslotermeer),2000,95,21,3,Furnished,Not Provided,Amsterdam Housing
Apartment Elandsstraat 24 A,1016 SG Amsterdam (Jordaan),1900,55,34,3,Furnished,Not Provided,Amsterdam Housing
Apartment Geulstraat,1078 KZ Amsterdam (Scheldebuurt),1995,92,21,3,Furnished,Not Provided,Twan Zebregs
Apartment Herengracht 90 D,1015 BS Amsterdam (Grachtengordel-West),2250,105,21,3,Upholstered,Not Provided,Renthouse Vastgoed
Apartment Bestevâerstraat 9 2,1056 HD Amsterdam (Geuzenbuurt),2300,78,29,3,Upholstered,Not Provided,Filarski Real Estate
Apartment Amstel,1017 AC Amsterdam (Grachtengordel-Zuid),2975,144,20,4,Furnished,Not Provided,Hausing
Apartment Zocherstraat 24 II,1054 LX Amsterdam (Overtoomse Sluis),2500,70,35,3,Not Provided,1906-1930,ADDRESS AMSTERDAM
Apartment Jan van Galenstraat 119 Huis,1056 BK Amsterdam (Geuzenbuurt),1950,110,17,4,Upholstered,Not Provided,Huizenbalie.nl
Apartment Frederik Hendrikstraat,1052 JA Amsterdam (Frederik Hendrikbuurt),1750,75,23,2,Not Provided,1905,Mar. J. Heule
Apartment Valkenburgerstraat,1011 NC Amsterdam (Nieuwmarkt/Lastage),2500,85,29,3,Not Provided,2007,Von Poll Real Estate - Centrum
Apartment Govert Flinckstraat 351 hs,1074 CD Amsterdam (Oude Pijp),2350,90,26,3,Upholstered,Not Provided,JLG Real Estate
Apartment Valeriusstraat 102 2,1075 GC Amsterdam (Willemspark),4500,154,29,7,Upholstered or furnished,Not Provided,Engel en Volkers Amsterdam
Apartment Alexanderkade,1018 CH Amsterdam (Weesperbuurt/Plantage),1850,90,20,3,Upholstered,Not Provided,Housing Experts
Apartment Korte Ouderkerkerdijk 1 B-3,1096 AC Amsterdam (Omval/Overamstel),6000,163,36,4,Furnished,Not Provided,EHR Amsterdam
Apartment Leimuidenstraat,1059 EE Amsterdam (Hoofddorppleinbuurt),2750,130,21,3,Upholstered,Not Provided,Housing Experts
Apartment Amsteldijk,1074 HT Amsterdam (Oude Pijp),1450,55,26,3,Upholstered,Not Provided,Amsterdam Rental Homes
Apartment Adelaarsweg,1021 BP Amsterdam (IJplein/Vogelbuurt),2250,90,25,4,Upholstered,Not Provided,Amsterdam Rental Homes
House Balatonmeerlaan,1060 RD Amsterdam (Middelveldsche Akerpolder),3500,144,24,5,Upholstered,Not Provided,Amstel Housing Amsterdam
Apartment Kalkmarkt,1011 BC Amsterdam (Nieuwmarkt/Lastage),1250,125,10,2,Furnished,Not Provided,HouseHunting Randstad
Apartment Ennemaborg,1082 SM Amsterdam (Buitenveldert-West),2150,71,30,4,Furnished,Not Provided,Brixt
Apartment Keizersgracht,1016 EG Amsterdam (Grachtengordel-West),6000,270,22,4,Upholstered,Not Provided,Listings
Apartment Carnapstraat,1062 KT Amsterdam (Westlandgracht),1755,73,24,2,Not Provided,2015,Wooove B.V.
Apartment Goudsbloemstraat 110 I,1015 JS Amsterdam (Jordaan),2250,60,37,3,Furnished,Not Provided,Dutch Housing Centre BV
Apartment Wiltzanghlaan 1 D,1055 KD Amsterdam (Landlust),2150,75,28,3,Furnished,Not Provided,Van Oosterom Makelaar
House Bestevâerstraat,1056 HM Amsterdam (Geuzenbuurt),3500,150,23,5,Upholstered or furnished,Not Provided,Huureenhuis
Apartment Mary van der Sluisstraat 286,1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep),2500,88,28,3,Not Provided,2018,Mid-stay Apartments
Apartment Nassaukade 155 1,1053 LK Amsterdam (Da Costabuurt),1850,80,23,3,Furnished,Not Provided,Parker & Williams Real Estate Services
House Akbarstraat 59,1061 DW Amsterdam (De Kolenkit),2500,135,18,6,Upholstered,Not Provided,Parker & Williams Real Estate Services
Apartment Brouwersgracht,1015 GA Amsterdam (Grachtengordel-West),2400,100,24,3,Furnished,Not Provided,Unlimited Housing
Apartment Van de Veldestraat,1071 CW Amsterdam (Museumkwartier),2750,94,29,2,Upholstered,Not Provided,BrinkBorgh Makelaardij
Apartment Singel,1017 AX Amsterdam (Grachtengordel-Zuid),2300,82,28,2,Furnished,Not Provided,NOORESTATE
Apartment Oranje-Vrijstaatplein,1093 NG Amsterdam (Dapperbuurt),2895,100,28,3,Upholstered or furnished,Not Provided,HouseHunting Randstad
Apartment Veembroederhof 255 2 PP,1019 HD Amsterdam (Oostelijk Havengebied),4500,183,24,6,Not Provided,2006,MRA Makelaars
Apartment Waverstraat,1079 VJ Amsterdam (Rijnbuurt),2150,53,40,3,Furnished,Not Provided,Verhoef Vastgoed
House Oudezijds Achterburgwal 89,1012 DC Amsterdam (Burgwallen-Oude Zijde),6250,261,23,8,Not Provided,Not Provided,Isaak Makelaardij o.g. B.V.
Apartment Herengracht,1016 BE Amsterdam (Grachtengordel-West),2500,70,35,3,Furnished,Not Provided,Interhouse verhuurmakelaars Amsterdam
Apartment Langestraat,1015 AM Amsterdam (Grachtengordel-West),1725,43,40,2,Furnished,Not Provided,Expathousing.com (Amsterdam)
Apartment Loenermark,1025 TX Amsterdam (Buikslotermeer),1450,65,22,2,Furnished,Not Provided,Homecrew
Apartment Hugo de Grootkade,1052 LP Amsterdam (Frederik Hendrikbuurt),1550,45,34,2,Furnished,Not Provided,Expats. Amsterdam Rentals
House Rijnstraat,1078 RB Amsterdam (IJselbuurt),2450,80,30,3,Upholstered,Not Provided,Interhouse verhuurmakelaars Amsterdam
Apartment Madurastraat 7 B,1094 GC Amsterdam (Indische Buurt West),1995,75,26,3,Furnished,Not Provided,EHR Amsterdam
Apartment Leenhofstraat,1067 KW Amsterdam (Geuzenveld),1750,69,25,3,Furnished,Not Provided,Expats. Amsterdam Rentals
Apartment Cornelis Anthoniszstraat,1071 VR Amsterdam (Museumkwartier),3150,115,27,3,Furnished,Not Provided,Unlimited Housing
Apartment Dikninge,1083 VC Amsterdam (Buitenveldert-Oost),2500,75,33,3,Furnished,Not Provided,PropertyManager Amsterdam
Apartment Van Tuyll van Serooskerkenweg 110 3,1076 JR Amsterdam (Stadionbuurt),3500,125,28,5,Furnished,Not Provided,"Vastgoed Verhuurmakelaardij,                                                                                 Koops Makelaardij Amsterdam"
Apartment Keizersgracht 96 G,1015 CV Amsterdam (Grachtengordel-West),2300,90,25,2,Furnished,Not Provided,The Rental Agency Amsterdam
Apartment Cornelis Trooststraat,1072 JA Amsterdam (Nieuwe Pijp),3500,110,31,4,Furnished,Not Provided,Von Poll Real Estate - Centrum
Apartment Karel du Jardinstraat 21 1,1072 SE Amsterdam (Nieuwe Pijp),2500,60,41,3,Not Provided,1926,DSTRCT Amsterdam
Apartment Ruysdaelkade 77 4,1072 AL Amsterdam (Oude Pijp),2000,49,40,2,Furnished,Not Provided,The Rental Agency Amsterdam
Studio Raamgracht,1011 KH Amsterdam (Nieuwmarkt/Lastage),1850,45,41,1,Upholstered,Not Provided,I-housing
House Gooise Kant,"1104 MM Amsterdam (Bijlmer Oost (E,G,K))",2250,107,21,5,Upholstered,Not Provided,Huisportaal.nl
Apartment Keizersgracht,1016 EG Amsterdam (Grachtengordel-West),6000,270,22,4,Upholstered,Not Provided,Listings
Apartment Kromme-Mijdrechtstraat,1079 KP Amsterdam (Rijnbuurt),2500,86,29,3,Upholstered,Not Provided,Zen Home Rentals
Apartment Scherpenzeelstraat 141,1107 HT Amsterdam (Holendrecht/Reigersbos),1800,71,25,3,Furnished,Not Provided,Vastgoed Verhuurmakelaardij
Apartment Bosboom Toussaintstraat,1054 AN Amsterdam (Helmersbuurt),3000,125,24,4,Upholstered,Not Provided,First Class Housing
Apartment Kerkstraat,1017 HC Amsterdam (Grachtengordel-Zuid),2550,105,24,3,Upholstered,Not Provided,People On The Move Expat Brokers
Studio Nieuwezijds Voorburgwal,1012 RD Amsterdam (Burgwallen-Nieuwe Zijde),1350,25,54,1,Furnished,Not Provided,Expats. Amsterdam Rentals
Apartment Johan Hofmanstraat,1069 KE Amsterdam (Osdorp-Midden),2250,96,23,3,Furnished,Not Provided,Amsterdam Property Renting
House Piet Zwarthof 63,1087 AX Amsterdam (IJburg West),2500,120,20,4,Furnished,Not Provided,Renthouse Vastgoed
Apartment Kromme Leimuidenstraat,1059 EL Amsterdam (Hoofddorppleinbuurt),2300,57,40,2,Furnished,Not Provided,Amsterdam Rentals
House Vrijheidslaan 5 a,1079 KA Amsterdam (Rijnbuurt),3150,170,18,4,Upholstered,Not Provided,Koops Makelaardij Amsterdam
Apartment Keizersgracht,1016 EG Amsterdam (Grachtengordel-West),6000,270,22,4,Upholstered,Not Provided,Listings
Apartment Ruysdaelkade 197 2,1072 AV Amsterdam (Nieuwe Pijp),1995,73,27,3,Upholstered or furnished,Not Provided,Brick Amsterdam
Apartment Valeriusstraat 110 huis,1075 GC Amsterdam (Willemspark),6500,225,28,7,Upholstered,Not Provided,Valerius Rentals
Apartment Tweede Oosterparkstraat 184 H,1092 BT Amsterdam (Oosterparkbuurt),2100,84,25,3,Upholstered,Not Provided,Brick Amsterdam
